title,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName
SPP Roofing Ltd,Roofing contractor,Chimney services,Gutter service,,,,,,,,"185 Kingsclere Ave, Weston, Southampton SO19 9JR, United Kingdom","Weston, Southampton",185 Kingsclere Ave,Southampton,SO19 9JR,,GB,http://www.spproofing.co.uk/,"
spproofing@aol.com",+44 23 8168 1911,+442381681911,50.885916,-1.3626066,"VJPP+9X Southampton, United Kingdom",Roofing contractor
The Roofing Division,Roofing contractor,,,,,,,,,,"Unit 20, Longbridge Industrial Park, Floating Bridge Rd, Southampton SO14 3FL, United Kingdom",,"Unit 20, Longbridge Industrial Park, Floating Bridge Rd",Southampton,SO14 3FL,,GB,https://www.theroofingdivision.com/,info@theroofingdivision.com,+44 23 8046 3778,+442380463778,50.8985774,-1.3891263,"VJX6+C8 Southampton, United Kingdom",Roofing contractor
Pack & Stack Removals,Moving and storage service,Delivery service,House clearance service,Mover,Packaging contractors and services,Piano moving service,Shipping company,,,,"Frobisher House, Southbrook Rd, Nelson Gate, Southampton SO15 1GX, United Kingdom","Nelson Gate, Southampton","Frobisher House, Southbrook Rd",Southampton,SO15 1GX,,GB,https://www.packandstackremovals.co.uk/, packandstackremovals@outlook.com,+44 23 8218 2968,+442382182968,50.9084682,-1.4134772,"WH5P+9J Southampton, United Kingdom",Moving and storage service
Atlantic Laundry & Dry Cleaners,Dry cleaner,Carpet cleaning service,Clothing alteration service,Laundromat,,,,,,,"44 Thornhill Park Rd, Thornhill, Southampton SO18 5TQ, United Kingdom",Thornhill,44 Thornhill Park Rd,Southampton,SO18 5TQ,,GB,http://atlantic-cleaners.com/,delivery@atlantic-cleaners.com,+44 23 8046 3694,+442380463694,50.9144622,-1.3366656,"WM77+Q8 Southampton, United Kingdom",Dry cleaner
Southampton Fencing Pros,Fence contractor,,,,,,,,,,"292 Shirley Rd, Shirley, Southampton SO15 3HL, United Kingdom",Shirley,292 Shirley Rd,Southampton,SO15 3HL,,GB,https://southamptonfencingpros.com/,info@southamptonfencingpros.com,+44 23 9431 1777,+442394311777,50.9165805,-1.4262776,"WH8F+JF Southampton, United Kingdom",Fence contractor
HB Carpentry LTD,Carpenter,,,,,,,,,,"45 Glenfield Cres, Southampton SO18 4RG, United Kingdom",,45 Glenfield Cres,Southampton,SO18 4RG,,GB,https://www.hbcarpentryltd.com/,INFO@HBCARPENTRYANDBUILDING.CO.UK,+44 7724 344797,+447724344797,50.9169327,-1.3647985,"WJ8P+Q3 Southampton, United Kingdom",Carpenter
Mike Bott Carpentry & Construction,Carpenter,,,,,,,,,,"119 Avenue Rd, Southampton SO14 6BD, United Kingdom",,119 Avenue Rd,Southampton,SO14 6BD,,GB,http://www.mikebottcarpentry.co.uk/,info@mikebottcarpentry.co.uk,+44 7840 331363,+447840331363,50.9212236,-1.3976012,"WJC2+FX Southampton, United Kingdom",Carpenter
MDC Carpentry Workshop,Carpenter,,,,,,,,,,"22 Floating Bridge Rd, Southampton SO14 3FL, United Kingdom",,22 Floating Bridge Rd,Southampton,SO14 3FL,,GB,http://www.mdccarpentryworkshop.co.uk/, info@mdccarpentryworkshop.co.uk,+44 23 8063 7242,+442380637242,50.8983902,-1.3878926,"VJX6+9R Southampton, United Kingdom",Carpenter
Mark Lloyd Carpentry & Associated Works,Carpenter,Building firm,Door shop,Joiner,Kitchen furniture store,Kitchen remodeler,Office refurbishment service,Repair service,Stair contractor,Woodworking supply store,"84 Copsewood Rd, Southampton SO18 1QU, United Kingdom",,84 Copsewood Rd,Southampton,SO18 1QU,,GB,http://www.marklloydcarpentry.co.uk/,info@marklloydcarpentry.co.uk,+44 7970 649742,+447970649742,50.9303961,-1.3679165,"WJJJ+5R Southampton, United Kingdom",Carpenter
D C Best & Sons,Painter,,,,,,,,,,"13 Furze Rd, Southampton SO19 8PF, United Kingdom",,13 Furze Rd,Southampton,SO19 8PF,,GB,http://www.pabdecorating.co.uk/,info@pabdecorating.co.uk,+44 7740 797163,+447740797163,50.9059448,-1.3570823,"WJ4V+95 Southampton, United Kingdom",Painter
J C L Projects,Carpenter,Kitchen remodeler,Stair contractor,,,,,,,,"Unit 21, Loveridge Trading Estate, Southbrook Rd, Southampton SO15 1GQ, United Kingdom",,"Unit 21, Loveridge Trading Estate, Southbrook Rd",Southampton,SO15 1GQ,,GB,https://www.jclprojects.co.uk/,tim@jclprojects.co.uk,+44 23 8168 1612,+442381681612,50.9077836,-1.417808,"WH5J+4V Southampton, United Kingdom",Carpenter
Colours By Artisan Painting & Decorating,Painter,,,,,,,,,,"557 Bitterne Rd. E, Southampton SO18 5EQ, United Kingdom",,557 Bitterne Rd. E,Southampton,SO18 5EQ,,GB,http://coloursbyartisan.co.uk/, dean@coloursbyartisan.co.uk ,+44 7875 006162,+447875006162,50.9148658,-1.3504861,"WJ7X+WR Southampton, United Kingdom",Painter
Adam Klos Painter & Decorator Ltd,Painter,Office refurbishment service,Property maintenance,,,,,,,,"12 Shirley High St, Shirley, Southampton SO15 3NH, United Kingdom",Shirley,12 Shirley High St,Southampton,SO15 3NH,,GB,http://www.adamklospainter.co.uk/,adamklosgm@gmail.com,+44 7438 076278,+447438076278,50.9211947,-1.432258,"WHC9+F3 Southampton, United Kingdom",Painter
PerfectPrep Decorating Service,Painter,Contractor,Interior Decorator,Office refurbishment service,Painting,Water damage restoration service,,,,,"16B Waterloo Rd, Southampton SO15 3AR, United Kingdom",,16B Waterloo Rd,Southampton,SO15 3AR,,GB,http://www.perfectprepdecorating.co.uk/,perfectprep.decorating@gmail.com,+44 7415 089587,+447415089587,50.9099811,-1.420153,"WH5H+XW Southampton, United Kingdom",Painter
RDS PAINTING & DECORATING,Painter,Interior Decorator,Painting,,,,,,,,"14 Lacon Cl, Southampton SO18 1JA, United Kingdom",,14 Lacon Cl,Southampton,SO18 1JA,,GB,http://www.paintinghampshire.co.uk/,info@paintinghampshire.co.uk,+44 7812 075482,+447812075482,50.9228419,-1.3715382,"WJFH+49 Southampton, United Kingdom",Painter
Pastilles Painting And Decorating,Painter,,,,,,,,,,"103 Witts Hill, Southampton SO18 4QL, United Kingdom",,103 Witts Hill,Southampton,SO18 4QL,,GB,https://pastillespainting.co.uk/,"
pastillespainting@gmail.com",+44 7360 094318,+447360094318,50.923231,-1.3608584,"WJFQ+7M Southampton, United Kingdom",Painter
TILE INFINITY,Tile contractor,Bathroom remodeler,Flooring contractor,Kitchen remodeler,,,,,,,"Middle Rd, Sholing, Southampton SO19 8FR, United Kingdom",Sholing,Middle Rd,Southampton,SO19 8FR,,GB,https://tileinfinity.co.uk/tiler-southampton,info@tileinfinity.co.uk,+44 7469 800879,+447469800879,50.9025318,-1.3601613,"WJ3Q+2W Southampton, United Kingdom",Tile contractor
Precision Tiling,Tile contractor,Bathroom remodeler,Flooring contractor,,,,,,,,"4a Inkerman Rd, Woolston, Southampton SO19 9DA, United Kingdom",Woolston,4a Inkerman Rd,Southampton,SO19 9DA,,GB,https://www.facebook.com/adsmundy1985,"
precisiontilingsouth@gmail.com",+44 7534 396648,+447534396648,50.8971131,-1.3780859,"VJWC+RQ Southampton, United Kingdom",Tile contractor
PAB Decorating,Painter,,,,,,,,,,"13 Furze Cl, Sholing, Southampton SO19 8PF, United Kingdom",Sholing,13 Furze Cl,Southampton,SO19 8PF,,GB,http://www.pabdecorating.co.uk/,info@pabdecorating.co.uk,+44 7740 797163,+447740797163,50.9059896,-1.3570907,"WJ4V+95 Southampton, United Kingdom",Painter
Fencing Solutions,Fence contractor,Deck builder,Service establishment,Lawn care service,,,,,,,,,,,,,,https://fencingsolutionssouthampton.co.uk/,fencingsolutionssouth@gmail.com,+44 7518 390816,+447518390816,50.9322775,-1.4336391,,Fence contractor
Wren Building Contractors,Paving contractor,Asphalt contractor,Civil engineering company,Concrete contractor,Road construction company,,,,,,"Tagus House, 9 Ocean Way, Southampton SO14 3TJ, United Kingdom",,"Tagus House, 9 Ocean Way",Southampton,SO14 3TJ,,GB,"https://www.google.com/search?q=Wren+Building+Contractors&stick=H4sIAAAAAAAA_-NgU1I1qDCxMDcxSzUwTU00MzQxSjK2MqgwTE0yM0pKMzcyMzZISTO1XMQqGV6UmqfgVJqZk5KZl67gnJ9XUpSYXJJfVAwAzoM0j0UAAAA&hl=en&mat=CR1I3EoBFhn5ElcBTVDHnlFI2cv9bcLHoFmQbnaoAYwktRQhXiemDtYrakPyT9MeqdBQ9YoJP-gs1FviqMf9Z4vk9ii7LiBIWWVrP0_oNTFNfrQ4cVJ6FIEbetAy_pJbKZ4&authuser=0#lpc=lpc&scso=_dHJUacrUGqXXhbIP-tuboQU_64:0,_y3pUaa-4D46AhbIP5In1uQ4_63:979,_JX1UaaXYKvmIhbIP4_e70Ak_55:979",,+44 1489 690070,+441489690070,50.8948616,-1.3947915,"VJV4+W3 Southampton, United Kingdom",Paving contractor
SOUTHAMPTON FENCING LIMITED,Bead store,,,,,,,,,,"8 Gainsford Rd, Southampton SO19 7AR, United Kingdom",,8 Gainsford Rd,Southampton,SO19 7AR,,GB,https://smartbuildsolutions.site/,info@wren-uk.com,,,50.9064619,-1.3763795,"WJ4F+HC Southampton, United Kingdom",Bead store
Aztec Fencing,Fence contractor,,,,,,,,,,"18 Thornleigh Rd, Woolston, Southampton SO19 9DH, United Kingdom",Woolston,18 Thornleigh Rd,Southampton,SO19 9DH,,GB,https://www.aztecfencing.co.uk/,jamie@aztecfencing.co.uk,,,50.8958917,-1.3712264,"VJWH+9G Southampton, United Kingdom",Fence contractor
MA Fencing,Fence contractor,,,,,,,,,,"Freemantle Cl, Southampton SO19 7BB, United Kingdom",,Freemantle Cl,Southampton,SO19 7BB,,GB,https://mafencing.com/,enquiries@mafencing.com,+44 7962 164650,+447962164650,50.9096859,-1.3658796,"WJ5M+VJ Southampton, United Kingdom",Fence contractor
Mothline Preservations Ltd,Plasterer,Gutter cleaning service,Insulation contractor,,,,,,,,"284 Wimpson Ln, Southampton SO16 4PX, United Kingdom",,284 Wimpson Ln,Southampton,SO16 4PX,,GB,https://www.mothlinepreservations.co.uk/,"
mothline@hotmail.com",+44 23 8168 3854,+442381683854,50.9275538,-1.4508571,"WGHX+2M Southampton, United Kingdom",Plasterer
Hayward Fencing,General contractor,,,,,,,,,,"35 Middle Rd, Southampton SO52 9JD, United Kingdom",,35 Middle Rd,Southampton,SO52 9JD,,GB,http://www.hayward-fencing.co.uk/contact/legal-notice/,enquiries@hayward-fencing.co.uk,+44 7860 351582,+447860351582,50.8992225,-1.3613951,"VJXQ+MC Southampton, United Kingdom",General contractor
Daedalus Drylining & Plastering,Dry wall contractor,Contractor,Plasterer,,,,,,,,"Stanton Buildings, Unit 1 Stanton Rd, Regents Park Rd, Southampton SO15 4HU, United Kingdom",,"Stanton Buildings, Unit 1 Stanton Rd, Regents Park Rd",Southampton,SO15 4HU,,GB,http://www.daedalusdryliningplastering.co.uk/,info@daedalusdryliningplastering.co.uk,+44 7712 510413,+447712510413,50.9180561,-1.4411872,"WH95+6G Southampton, United Kingdom",Dry wall contractor
Extreme Plastering LTD,Contractor,,,,,,,,,,"35 Mill Rd, Southampton SO15 4JB, United Kingdom",,35 Mill Rd,Southampton,SO15 4JB,,GB,http://www.extremeplastering.co.uk/,info@extremeplastering.co.uk,+44 7743 043440,+447743043440,50.9167132,-1.4456036,"WH83+MQ Southampton, United Kingdom",Contractor
N. Cole Plastering and Dry Lining Limited,Contractor,,,,,,,,,,"First Floor, Sidney House, Hampshire House, 3-4 Lower Vicarage Rd, Woolston, Southampton SO19 7RJ, United Kingdom",Woolston,"First Floor, Sidney House, Hampshire House, 3-4 Lower Vicarage Rd",Southampton,SO19 7RJ,,GB,http://www.ncoleplastering.co.uk/,"
info@ncoleplastering.co.uk",+44 23 8042 1244,+442380421244,50.9003422,-1.3813112,"WJ29+4F Southampton, United Kingdom",Contractor
Crowley Plastering,Plasterer,,,,,,,,,,"4 Kellett Rd, Upper Shirley, Southampton SO15 7PR, United Kingdom",Upper Shirley,4 Kellett Rd,Southampton,SO15 7PR,,GB,http://www.crowleyplastering.co.uk/,info@crowleyplastering.co.uk,+44 7976 521601,+447976521601,50.9235968,-1.4155468,"WHFM+CQ Southampton, United Kingdom",Plasterer
B.Arnold Plastering & Rendering,Plasterer,,,,,,,,,,"The Greenwich, Gloucester Square, Southampton SO14 2GJ, United Kingdom",,"The Greenwich, Gloucester Square",Southampton,SO14 2GJ,,GB,http://barnoldplastering.co.uk/,"
b.arnoldplastering@yahoo.com",+44 7789 860786,+447789860786,50.8968226,-1.4040733,"VHWW+P9 Southampton, United Kingdom",Plasterer
DannySG Plastering,Plasterer,Painter,,,,,,,,,"30 Cunningham Cres, Sholing, Southampton SO19 8JY, United Kingdom",Sholing,30 Cunningham Cres,Southampton,SO19 8JY,,GB,https://www.facebook.com/profile.php?id=61552251391845,dannysguthrie@gmail.com,+44 7922 658054,+447922658054,50.9021704,-1.3532908,"WJ2W+VM Southampton, United Kingdom",Plasterer
Lion Commercial Cleaning Ltd,Cleaners,,,,,,,,,,"Director General's House, 15 Rockstone Pl, Southampton SO15 2EP, United Kingdom",,"Director General's House, 15 Rockstone Pl",Southampton,SO15 2EP,,GB,http://www.lionccl.co.uk/,info@lionccl.co.uk,+44 800 077 6799,+448000776799,50.9145976,-1.4029097,"WH7W+RR Southampton, United Kingdom",Cleaners
DixeyClean Ltd - Commercial Cleaners Southampton,Cleaners,Cleaning service,Gutter cleaning service,House cleaning service,Sandblasting service,,,,,,"33 Caerleon Dr, Southampton SO19 5LH, United Kingdom",,33 Caerleon Dr,Southampton,SO19 5LH,,GB,http://www.dixeyclean.co.uk/,richard@dixeyclean.co.uk,+44 800 772 0872,+448007720872,50.9106416,-1.3468417,"WM63+77 Southampton, United Kingdom",Cleaners
1st Choice Dry Cleaners,Dry cleaner,,,,,,,,,,"8 Floating Bridge Rd, Southampton SO14 3FL, United Kingdom",,8 Floating Bridge Rd,Southampton,SO14 3FL,,GB,http://www.1stchoicedrycleaners.com/,info@1stchoicedrycleaners.com,+44 7931 192265,+447931192265,50.8985725,-1.3894565,"VJX6+C6 Southampton, United Kingdom",Dry cleaner
The Waste Group - Skip Hire,Waste management service,Asbestos testing service,Junk removal service,Recycling center,,skip hire,asbestor removel,,,,"Lower Banister St, Southampton SO15 2RU, United Kingdom",,Lower Banister St,Southampton,SO15 2RU,,GB,https://www.thewastegroup.co.uk/areas/southampton/, info@thewastegroup.co.uk,+44 800 652 0160,+448006520160,50.9122656,-1.405675,"WH6V+WP Southampton, United Kingdom",Waste management service
Cleaning Queens,House cleaning service,Cleaners,,,,,,,,,"16 Weston Grove Rd, Woolston, Southampton SO19 9EL, United Kingdom",Woolston,16 Weston Grove Rd,Southampton,SO19 9EL,,GB,https://www.facebook.com/share/1BVwhiYetX/,cleaningqueens.south@gmail.com,+44 7784 119261,+447784119261,50.8932033,-1.3789089,"VJVC+7C Southampton, United Kingdom",House cleaning service
