address,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categoryName,city,countryCode,emails/0,facebookProfiles/0/categories/1,facebookProfiles/0/categories/2,facebookProfiles/0/categories/3,facebookProfiles/0/coverPhoto,facebookProfiles/0/email,facebookProfiles/0/externalProfileURL,facebookProfiles/0/facebookId,facebookProfiles/0/info/0,facebookProfiles/0/info/1,facebookProfiles/0/info/2,facebookProfiles/0/phone,facebookProfiles/0/profileURL,phone,postalCode,searchString,street,title,website
"Scant Rd E, Hambrook, Chichester PO18 8UB, United Kingdom",Construction company,,,,,,,,,,,Construction company,Chichester,GB,info@morethandriveways.co.uk,Paving & Asphalt Service,,,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/486498733_2004334783388345_8091742380523276597_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=2a1932&_nc_ohc=AONk4Y1n1EoQ7kNvwEQ11RZ&_nc_oc=AdoOyy6Zjpn1E6us2u1_5SyqzoBp_OvCLCbW4YE4ZPclUgerr1OV3bJIOYQmr46DXRs&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=XKYS_H_GDJsgI_8R2xBM5w&_nc_ss=72289&oh=00_Af4P4qxMSSL_fi0XT0LEZBW4eJXakUpRl7H0G0ouDvhn3g&oe=6A08C3B1,info@morethandriveways.co.uk,https://www.morethandriveways.co.uk/,100063767821964,"More than driveways. 1,620 likes","19 talking about this. More Than Driveways are driveway and patio contractors for Chichester, Worthing and Bognor Regis.",,+44 1243 888682,https://www.facebook.com/morethandriveway,+44 1243 888682,PO18 8UB,Renovation,Scant Rd E,MORE THAN DRIVEWAYS,http://morethandriveways.co.uk/
"White Lodge, Hambrook, Chichester PO18 8RG, United Kingdom",Construction company,,,,,,,,,,,Construction company,Chichester,GB,info@hambrookcarpentry.co.uk,Contractor,,,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/476864588_1189432842765026_7894469810154554308_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=2a1932&_nc_ohc=xvywbjKuLOkQ7kNvwH5Ut7z&_nc_oc=AdrAhvTArxbbHNjssJN3O6OH4PWYtXhXM487sndnOBpzbwNIEWtT9RUuT75OTy1aeKY&_nc_zt=23&_nc_ht=scontent-atl3-1.xx&_nc_gid=jr-4t_I4crcoJJSANrt9Iw&_nc_ss=7c289&oh=00_Af45ORGn0m5DWDsnfFItMo1JPbCOLn5FURrr3fCVHDsCjg&oe=6A08D6ED,info@hambrookcarpentry.co.uk,http://Www.hambrookcarpentry.co.uk/,100050949646728,"Hambrook Construction ltd, Hambrook. 153 likes. We are a construction company based in West Sussex specialising in high end development and refurbishment...",,,+44 7903 967356,https://www.facebook.com/hambrookconstruction,+44 7903 967356,PO18 8RG,Construction,White Lodge,Hambrook Construction Ltd,https://hambrookcarpentry.co.uk/
"Crowshall Farm, Chilgrove Road, Chichester PO18 9HP, United Kingdom",Plant and machinery hire,Cleaning service,Gutter cleaning service,Masonry contractor,Painter,Pressure washing service,Property maintenance,Property management company,,,,Plant and machinery hire,Chichester,GB,info@mcpm.co.uk,Property Management Company,,,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/481445594_1222208933238811_7127898392784625808_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2a1932&_nc_ohc=AxBkFD6PDaoQ7kNvwHDAlZX&_nc_oc=Adr2eg9mH_ifJdnIcXS7nAVLeI0LKEwSYzuyCW3Ulj-2LiWwa0SWF7OaZCfcFth-FcU&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=uoRdStmudnn8Otjkec-P7g&_nc_ss=72289&oh=00_Af7K5akL8mtDgadVwo3E84rq971yUa-89fTbt6iH2HM-PQ&oe=6A08CF15,info@mcpm.co.uk,http://www.mcpm.co.uk/,100063491486569,"MC Property Maintenance, Chichester. 91 likes",1 was here. Self and operated hire of high quality access equipment including Cherry Pickers from local...,,+44 1243 530076,https://www.facebook.com/MCPM.co.uk,+44 1243 530076,PO18 9HP,Painting,"Crowshall Farm, Chilgrove Road",MC Property Maintenance - Cherry Picker Hire,https://www.mcpropertymaintenance.co.uk/
"Rosedale, Ashfield Rd, Midhurst GU29 9JX, United Kingdom",Heating contractor,Electrical installation service,Gas engineer,Heating equipment supplier,Solar energy company,,,,,,,Heating contractor,Midhurst,GB,info@porterheating.co.uk,,,,,,,,,,,,,+44 1798 879929,GU29 9JX,Electrical,"Rosedale, Ashfield Rd",T J Porter Heating Solutions & Energy Services,https://www.porterheating.co.uk/
"1, St James' Works, St Pancras, Chichester PO19 7NN, United Kingdom",Laundry service,Clothing alteration service,Dry cleaner,House cleaning service,Laundromat,Leather cleaning service,Linens store,Property management company,Tailor,Vacation home rental agency,,Laundry service,Chichester,GB,info@homeanddry.biz,,,,,,,,,,,,,+44 1243 543877,PO19 7NN,Cleaning,"1, St James' Works, St Pancras",Home & Dry Garment Care and Home Services,http://www.homeanddry.biz/
"Unit 72, Enterprise Centre, Terminus Rd, Chichester PO19 8FY, United Kingdom",Construction company,,,,,,,,,,,Construction company,Chichester,GB,accounts@chichestercarpentry.co.uk,Carpenter,,,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/474794950_1092247029581429_5631544929711939403_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=2a1932&_nc_ohc=-SshrjwtE2EQ7kNvwFLCMEd&_nc_oc=AdobDl4F2svfpKSovbXvPI8eCpN7Fm7cZmP04C5ZcD-f4H2_gUo4sojwFCN7ZAAiA73Ve9V7pMcJwMdPpx2CTN5D&_nc_zt=23&_nc_ht=scontent-mia3-2.xx&_nc_gid=xRqBB5dKIm5c7ole3hWlPw&_nc_ss=72289&oh=00_Af6tsfnvgStAYKP4xG-C9e9LJaT6r6Vxs5EL_U7Uj4Wr4Q&oe=6A08E4EF,accounts@chichestercarpentry.co.uk,http://www.chichestercarpentry.co.uk/,100063884266822,"Chichester Carpentry & Building Ltd, Chichester. 187 likes",7 were here. Chichester Carpentry & building ltd is carpentry and construction company which...,,+44 1243 537601,https://www.facebook.com/Chichester-Carpentry-Building-Ltd-137348653111140,+44 1243 537601,PO19 8FY,Carpentry,"Unit 72, Enterprise Centre, Terminus Rd",Chichester Carpentry & Building LTD.,https://www.chichestercarpentry.co.uk/
"Graffham Cmn Rd, Petworth GU28 0PT, United Kingdom",Building firm,Construction company,,,,,,,,,,Building firm,Petworth,GB,mduke@garsdenpepper.co.uk,,,,,,,,,,,,,+44 7977 991995,GU28 0PT,Landscaping,Graffham Cmn Rd,Garsden Pepper Ltd,https://www.garsdenpepper.com/
"Langley Farm Rd, Rake, Liss GU33 7JW, United Kingdom",Carpenter,Building firm,Construction company,Lumber store,Sunroom contractor,,,,,,,Carpenter,Liss,GB,enquiries@greenoakcarpentry.co.uk,Company,,,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/471741258_917870090324417_3669613741500574274_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2a1932&_nc_ohc=fKcJMDN2WGAQ7kNvwHu6QHU&_nc_oc=Adq8u3tqtQcMfZ7Wvu6P68w6jsHnOIXvEAu7HZT2pVW0_9_p61FXQP-KO5vV0Zv_2gI&_nc_zt=23&_nc_ht=scontent-atl3-2.xx&_nc_gid=MiqxOPz24b2ThyzXelIR3g&_nc_ss=72289&oh=00_Af5sUZZ6tQhH0pIlnsrS6IOwFfouYFVm2MJsfL4vz-qsTg&oe=6A08C134,enquiries@greenoakcarpentry.co.uk,http://www.greenoakcarpentry.co.uk/,100063043038711,"The Green Oak Carpentry Company. 729 likes. Award-winning designers, architects & fabricators of beautiful traditional and contemporary timber structures.",,,,https://www.facebook.com/GreenOakCarpentryCo,+44 1730 892049,GU33 7JW,Carpentry,Langley Farm Rd,The Green Oak Carpentry Company,https://www.greenoakcarpentry.co.uk/
"20 Montague Rd, Easebourne, Midhurst GU29 9BJ, United Kingdom",Chimney sweep,Computer repair service,Computer training school,Web hosting company,Website designer,,,,,,,Chimney sweep,Midhurst,GB,shaun@shaunthesweep.co.uk,,,,,,,,,,,,,+44 1730 817359,GU29 9BJ,Cleaning,20 Montague Rd,Shaun The Sweep,http://www.shaunthesweep.co.uk/
"Old Army Barracks, Cemetery Ln, Emsworth PO10 8SB, United Kingdom",Construction company,,,,,,,,,,,Construction company,Emsworth,GB,hello@dmpbuildtech.co.uk,Construction Company,,,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/641275834_1289361419920132_443449752840772065_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=2a1932&_nc_ohc=8lm-RBEfWZ8Q7kNvwEb-Gos&_nc_oc=AdrvRop9zbHbY7Rn-ak5eWj1cBCi2BLvr7zKosHCwRj5JhuynYc7UGZq-YaQkP67ILQ&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=7vZtSpaa8v68GshcolmlJw&_nc_ss=72289&oh=00_Af5tfr7DjrVheBtYeNlhdLNy6g3XhSL6-U4ldLWYvw1Pdg&oe=6A08D3AB,hello@dmpbuildtech.co.uk,http://www.dmpbuildtech.co.uk/,100065388583241,"DMP Buildtech, Emsworth. 37 likes","1 was here. Specialising in Construction and property maintenance services, project management, construction...",,+44 1243 767620,https://facebook.com/dmpbuildtech,+44 1243 767620,PO10 8SB,Renovation,"Old Army Barracks, Cemetery Ln",DMP Buildtech,https://www.dmpbuildtech.co.uk/
"Wenham Barn, Wenham Manor, Rogate, Petersfield GU31 5AY, United Kingdom",Home builder,Building firm,Construction company,,,,,,,,,Home builder,Petersfield,GB, info@pegasusbuilders.co.uk,,,,,,,,,,,,,+44 1730 266205,GU31 5AY,Joinery,"Wenham Barn, Wenham Manor",Pegasus Builders,http://www.pegasusbuilders.co.uk/
"Woods Bldg the Wharf, 3, Midhurst GU29 9PX, United Kingdom",Construction company,,,,,,,,,,,Construction company,Midhurst,GB,hello@builtbyartizans.co.uk,Architectural Designer,,,https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-6/487508636_3124995234306222_7365406243801700898_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=106&ccb=1-7&_nc_sid=2a1932&_nc_ohc=jKxnudes5KQQ7kNvwFsbJUO&_nc_oc=AdqndwtPuIGqGhaemUTmPaNFOcvt9-mIU2Rdu-Ji8CNGB4fbrioxSZhx8hMKzoEI-0Q&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=6nPx2kXS_8mnkoPlE8jORg&_nc_ss=7c289&oh=00_Af5DW_fj3D8iCoN9gO7txx-uzQmigXXYJZe193Rz8LQh9w&oe=6A08ECBA,hello@builtbyartizans.co.uk,http://builtbyartizans.co.uk/,100036469073053,"Built by Artizans, Midhurst. 2,513 likes",3 talking about this,49 were here. Built by Artizans is a team of natural builders based on the Goodwood Estate.,+44 1730 815885,https://www.facebook.com/builtbyartizans,+44 1730 815885,GU29 9PX,Plastering,"Woods Bldg the Wharf, 3",Built By Artizans,http://www.builtbyartizans.co.uk/
"Station Yard, Nyewood, Petersfield GU31 5HX, United Kingdom",Construction company,,,,,,,,,,,Construction company,Petersfield,GB,office@r-nl.co.uk,,,,,,,,,,,,,+44 1730 821771,GU31 5HX,Landscaping,"Station Yard, Nyewood",Richardsons (Nyewood) Ltd,http://www.richardsons-nyewood.co.uk/
"Whithorne House, Lambert's Ln, Midhurst GU29 9DH, United Kingdom",Sunroom contractor,Building designer,Construction company,Garden building supplier,Skylight contractor,Window installation service,,,,,,Sunroom contractor,Midhurst,GB,sales@englishgardenrooms.co.uk,,,,,,,,,,,,,+44 1730 815690,GU29 9DH,Gardening,"Whithorne House, Lambert's Ln",English Garden Rooms,https://englishgardenrooms.co.uk/
"Parchment St, Chichester PO19 3BX, United Kingdom",Electrician,Electrical engineer,Electrical installation service,Lighting contractor,Solar energy company,Solar energy system service,,,,,,Electrician,Chichester,GB,info@chi-lec.com,Electrician,,,https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-6/480792174_1165889698869954_6552407242547810141_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=2a1932&_nc_ohc=INJ7E1MFjC8Q7kNvwF97B16&_nc_oc=AdoY34RB06tPqvoix4kwud62yx7F9SvUuXLC06NbOLRriP7CSeb2mA7sMjM12BWJc8I&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&_nc_gid=jjzsih3ExQ_6fnhDtJx6WA&_nc_ss=7c289&oh=00_Af7ui61ydNNhcJptqVPr60nY_FGTCOuk4MsZXB865i2EOg&oe=6A08C0BB,dan@chi-lec.com,http://www.chi-lec.com/,100063468043731,Chi-Lec Electrical Contractors LTD. 211 likes,"6 talking about this. Electricians based in Chichester. We are skilled, qualified and experienced in all...",,+44 7759 045007,https://www.facebook.com/Chi.Lec,+44 7759 045007,PO19 3BX,Electrical,Parchment St,Chi-Lec Electrical Contractors Ltd,https://chi-lec.com/
"Bracklesham Ln, Chichester PO20 8JF, United Kingdom",Roofing contractor,Construction company,,,,,,,,,,Roofing contractor,Chichester,GB,morleyandsonsroofing@gmail.com,Roofing Service,,,https://scontent-dfw6-1.xx.fbcdn.net/v/t39.30808-6/481077651_1192866832839335_4746226157820221118_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=2a1932&_nc_ohc=Bvy7Jmzm9WYQ7kNvwFTZ8Mk&_nc_oc=AdpF0o4xdm98kIsFqcnLXj8wxA9uUU9sFgPctQDZhl87oGWV0dJxagY1af85wlwt3V4&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=r-027yYfKDIA_UEyp8-bfg&_nc_ss=72289&oh=00_Af6-bEg1LuW5WZ8QbWI9niefPi2aGID7tHcetQSafLOQdw&oe=6A08EFA2,morleyandsonsroofing@gmail.com,http://www.morleyandsonsroofing.co.uk/,100063480886071,"Morley & Sons Roofing ltd, Chichester. 1,087 likes","1 talking about this. All aspects of roofing works undertaken.
Tiling, Slating, Flat roofs, Lead...1 talking about this. All aspects of roofing works undertaken.
Tiling, Slating, Flat roofs, Lead...",,+44 1243 674205,https://www.facebook.com/jfmorley.roofing,+44 7375 543882,PO20 8JF,Rendering,Bracklesham Ln,"Morley & Sons Roofing, Repointing",http://www.morleyandsonsroofing.co.uk/
,Construction company,Service establishment,Fence contractor,,,,,,,,,Construction company,,,enquires@eliteboundaries.co.uk,,,,,,,,,,,,,+44 7376 460922,,Fencing & Gates,,Elite Boundaries,https://eliteboundaries.co.uk/
"Baker Barracks, 17 Swift Rd, Emsworth PO10 8EB, United Kingdom",Gas company,Air conditioning repair service,Air conditioning system supplier,Gas installation service,Heating equipment supplier,Plumber,,,,,,Gas company,Emsworth,GB,bookings@dragondomesticgasservices.co.uk,Plumbing Service,,,https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-6/546172231_10237701358503165_3325916811561230920_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=2a1932&_nc_ohc=eaIee86YVO0Q7kNvwFiawox&_nc_oc=AdrHPv_YP3BLP1wXzK7EHu_ATyqSozI98l6hm6gKfTUrSoRn-lqSLXMaQMriK13vk0g&_nc_zt=23&_nc_ht=scontent-iad6-1.xx&_nc_gid=CAGYuwvrK48UDi5A83Ebtg&_nc_ss=7c289&oh=00_Af5ej0cz9SUwhA4G-Bd7G6adQk7F9JhJ-c6t5wChkt7Yhg&oe=6A08C4E2,bookings@dragondomesticgasservices.co.uk,https://dragondomesticgasservices.co.uk/,61580890100905,"Dragon Domestic Gas Services, Emsworth. 113 likes","1 talking about this. From homes to gyms, aircon to boilers, we deliver reliable domestic and...",,+44 7736 371837,https://www.facebook.com/dragondomestic,+44 7736 371837,PO10 8EB,Air Conditioning,"Baker Barracks, 17 Swift Rd",Dragon Domestic Gas Services Ltd,https://www.dragondomesticgasservices.co.uk/
"Bognor Rd, Chichester PO20 1BF, United Kingdom",Trucking company,,,,,,,,,,,Trucking company,Chichester,GB,transport@churchill-freight.com,,,,,,,,,,,,,+44 1243 531239,PO20 1BF,Removals,Bognor Rd,Churchill Freight Services,https://www.churchill-freight.com/about-us
"1 Hunston Villas, Hunston, Chichester PO20 1NR, United Kingdom",Transportation service,Trucking company,,,,,,,,,,Transportation service,Chichester,GB,,,,,,,,,,,,,,+44 1243 785370,PO20 1NR,Removals,1 Hunston Villas,Shoreline Interboat (Chichester),https://www.boattrans.co.uk/
