Company name,Indusry,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,address,Town,street,city,postalCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName
L T Fencing,Fence contractor,Garden,,,,,,,,,,"28 Harleston Rd, Portsmouth PO6 3RR, United Kingdom",,28 Harleston Rd,Portsmouth,PO6 3RR,http://www.ltfencing.co.uk/,ltfencing1@hotmail.co.uk,+44 7775 996382,+447775996382,50.8529252,-1.0784239,,Fence contractor
D.G. Gyles Plastering,Plasterer,Ceiling supplier,,,,,,,,,,"60 Aberdare Ave, Drayton, Portsmouth PO6 2AU, United Kingdom",Drayton,60 Aberdare Ave,Portsmouth,PO6 2AU,http://www.gylesplastering.co.uk/,david@gylesplastering.co.uk,+44 7776 234712,+447776234712,50.8503807,-1.0498591,,Plasterer
Shane Stoddart Kitchens & Carpentry,Carpenter,,,,,,,,,,,"13 Redlands Grove, Southsea, Portsmouth, Southsea PO4 8HZ, United Kingdom","Southsea, Portsmouth",13 Redlands Grove,Southsea,PO4 8HZ,"http://shanestoddartkitchens.co.uk/
",shanestoddart@hotmail.co.uk,+44 7912 654278,+447912654278,50.7929797,-1.0484393,,Carpenter
IN4structure Limited,Carpenter,Bathroom remodeler,Construction company,Electrician,Painter,Plasterer,Plumber,,,,,"Henderson Rd, Southsea, Portsmouth, Southsea PO4 9JE, United Kingdom","Southsea, Portsmouth",Henderson Rd,Southsea,PO4 9JE,http://www.in4structure.co.uk/,Luke@in4structure.co.uk,+44 7894 138103,+447894138103,50.7882022,-1.0506844,,Carpenter
G E Carpentry Ltd,Carpenter,,,,,,,,,,,"42 Byron Rd, Fratton, Portsmouth PO2 7RZ, United Kingdom",Fratton,42 Byron Rd,Portsmouth,PO2 7RZ,http://www.ge-carpentry.co.uk/,info@ge-carpentry.co.uk,+44 7584 325409,+447584325409,50.8107366,-1.0681709,,Carpenter
Hatton Carpentry Ltd,Carpenter,,,,,,,,,,,"74 Farlington Rd, Portsmouth PO2 0DS, United Kingdom",,74 Farlington Rd,Portsmouth,PO2 0DS,https://portsmouthcarpenter.com/,,+44 7949 179942,+447949179942,50.8145101,-1.0712811,,Carpenter
TimberArch Carpentry Ltd,Carpenter,,,,,,,,,,,"Unit 5, The Partnership Park, Rodney Rd, Southsea, Portsmouth, Southsea PO4 8DF, United Kingdom","Southsea, Portsmouth","Unit 5, The Partnership Park, Rodney Rd",Southsea,PO4 8DF,https://timberarchcarpentry.co.uk/,office@temberarchcarpentry.co.uk,+44 23 9309 0159,+442393090159,50.7984267,-1.067322,,Carpenter
Sapphire Carpentry and Building Ltd,Carpenter,Construction company,Garage builder,Home builder,Joiner,Kitchen remodeler,,,,,,"19 Westbourne Rd, Portsmouth PO2 7LB, United Kingdom",,19 Westbourne Rd,Portsmouth,PO2 7LB,http://www.sapphirecarpentry.co.uk/,george@sapphirecarpentry.co.uk,+44 7471 683071,+447471683071,50.812902,-1.067516,,Carpenter
Westcote Heritage,Painter,,,,,,,,,,,"6 Bonchurch Rd, Southsea, Portsmouth, Southsea PO4 8RZ, United Kingdom","Southsea, Portsmouth",6 Bonchurch Rd,Southsea,PO4 8RZ,http://www.westcoteheritage.co.uk/,info@westcoteheritage.co.uk,+44 7761 384074,+447761384074,50.7971063,-1.0592059,,Painter
The Southsea Decorating Company,Painter,Contractor,Interior Decorator,,,,,,,,,"152 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JS, United Kingdom","Southsea, Portsmouth",152 Albert Rd,Southsea,PO4 0JS,https://thesouthseadecoratingcompany.co.uk/,info@thesouthseadecoratingcompany.co.uk,+44 7946 003004,+447946003004,50.7866014,-1.0747032,,Painter
Just Paint Decorating Company,Painter,,,,,,,,,,,"7 St Albans Rd, Southsea, Portsmouth, Southsea PO4 9AU, United Kingdom","Southsea, Portsmouth",7 St Albans Rd,Southsea,PO4 9AU,http://www.just-paint.co.uk/,justpaintsouthsea@gmail.com,+44 7739 158092,+447739158092,50.7881429,-1.0659397,,Painter
SL Painting & Decorating Southsea,Painter,,,,,,,,,,,"24 Herbert Rd., Southsea, Portsmouth, Southsea PO4 0QA, United Kingdom","Southsea, Portsmouth",24 Herbert Rd.,Southsea,PO4 0QA,http://sl-painting-and-decorating.co.uk/,info@sl-painting-and-decorating.co.uk,+44 7789 078604,+447789078604,50.7837198,-1.0756777,,Painter
J M DECORATING,Painter,,,,,,,,,,,"Southsea, Portsmouth, Southsea PO4 8QE, United Kingdom","Southsea, Portsmouth",,Southsea,PO4 8QE,https://www.facebook.com/jmdecorating.co.uk/,"
jmdecorating1@hotmail.com",+44 7455 450984,+447455450984,50.7975156,-1.0577368,,Painter
Stark & Son Painting and Decorating,Painter,Painting,,,,,,,,,,"16 Connaught Rd, North End, Portsmouth PO2 9BP, United Kingdom",North End,16 Connaught Rd,Portsmouth,PO2 9BP,http://www.starkandson.co.uk/,hello@starkandson.co.uk,+44 7446 099673,+447446099673,50.8187108,-1.0796301,,Painter
reliance plumbing and heating,Plumber,Gas engineer,,,,,,,,,,"19 Clacton Rd, Cosham, Portsmouth PO6 3QX, United Kingdom",Cosham,19 Clacton Rd,Portsmouth,PO6 3QX,https://www.relianceemergencyplumbing.com/,,+44 7542 099862,+447542099862,50.8486487,-1.0792645,,Plumber
ABeck Plumbing Services,Plumber,,,,,,,,,,,"62e Havant Rd, Cosham, Portsmouth PO6 2QZ, United Kingdom",Cosham,62e Havant Rd,Portsmouth,PO6 2QZ,https://www.abeckservices.co.uk/,info@abeckservices.co.uk,+44 23 9400 2596,+442394002596,50.8463246,-1.0633565,,Plumber
Portsmouth Drains24 - Your Local Drainage Experts,Plumber,Drainage service,,,,,,,,,,"Oak Park Estate, Northarbour Rd, Cosham, Portsmouth PO6 3TJ, United Kingdom",Cosham,"Oak Park Estate, Northarbour Rd",Portsmouth,PO6 3TJ,https://www.portsmouthdrains24.co.uk/,info@drains24.co.uk,+44 23 8251 5737,+442382515737,50.8445572,-1.0813663,,Plumber
Drainage Portsmouth - Blocked Drains,Plumber,,,,,,,,,,,"58 Tregaron Ave, Drayton, Portsmouth PO6 2NE, United Kingdom",Drayton,58 Tregaron Ave,Portsmouth,PO6 2NE,https://drainage-south-coast.co.uk/portsmouth/,none,+44 23 9360 1371,+442393601371,50.8423678,-1.0541062,,Plumber
A BEECH BUILDERS,Home builder,,,,,,,,,,,"39 Magdala Rd, Cosham, Portsmouth PO6 2QG, United Kingdom",Cosham,39 Magdala Rd,Portsmouth,PO6 2QG,http://www.abeechbuilders.co.uk/,andy@abeechbuilders.co.uk,+44 7901 734219,+447901734219,50.8441577,-1.0639639,,Home builder
ALC Building Services,Home builder,Construction company,Custom home builder,,,,,,,,,"33 Dean Rd, Cosham, Portsmouth PO6 3DG, United Kingdom",Cosham,33 Dean Rd,Portsmouth,PO6 3DG,https://alcbuildingservices.co.uk/,info@alcbuildingservices.co.uk,+44 7850 990038,+447850990038,50.8460932,-1.0636448,,Home builder
Jaysparks,Electrician,,,,,,,,,,,"13 Third Ave, Cosham, Portsmouth PO6 3JA, United Kingdom",Cosham,13 Third Ave,Portsmouth,PO6 3JA,http://www.jaysparkselectrical.co.uk/,info@jaysparkselectrical.co.uk,+44 23 9400 7784,+442394007784,50.8464665,-1.0727223,,Electrician
Jon Taylor Electrical Services Limited,Electrician,,,,,,,,,,,"39 Mablethorpe Rd, Cosham, Portsmouth PO6 3LH, United Kingdom",Cosham,39 Mablethorpe Rd,Portsmouth,PO6 3LH,http://www.jontaylorelectrical.co.uk/,jtes_ltd@yahoo.com,+44 7703 735360,+447703735360,50.852391,-1.073914,,Electrician
RWA Electrical Services,Electrician,,,,,,,,,,,"3 Lonsdale Ave, Cosham, Portsmouth PO6 2PU, United Kingdom",Cosham,3 Lonsdale Ave,Portsmouth,PO6 2PU,http://www.rwaelectricalservices.co.uk/,info@rwaelectricalservices.co.uk,+44 7722 185367,+447722185367,50.8424847,-1.0618065,,Electrician
Walker Electrical Services (UK) Ltd,Electrician,,,,,,,,,,,"The Droke, Cosham, Portsmouth PO6 3AX, United Kingdom",Cosham,The Droke,Portsmouth,PO6 3AX,http://www.walkerelectrical.co.uk/,sales@walkerelectrical.co.uk,+44 23 9234 8723,+442392348723,50.8447503,-1.0667268,,Electrician
Mayo Electrical Contractors Ltd.,Electrician,Electrical installation service,Lighting contractor,,,,,,,,,"21 Carmarthen Ave, Drayton, Portsmouth PO6 2AG, United Kingdom",Drayton,21 Carmarthen Ave,Portsmouth,PO6 2AG,http://www.mayoelectrical.co.uk/,jason@mayoelectrical.co.uk,+44 23 9236 6688,+442392366688,50.8474475,-1.0546136,,Electrician
Portsmouth Electricians 4U Ltd,Electrician,Electrical installation service,,,,,,,,,,"321 Highbury Grove, Cosham, Portsmouth PO6 2RW, United Kingdom",Cosham,321 Highbury Grove,Portsmouth,PO6 2RW,http://www.portsmouthelectricians4u.co.uk/,portsmouthelectricians4u,+44 23 9309 2801,+442393092801,50.8359215,-1.0555872,,Electrician
Knight Landlord Services,Utility contractor,,,,,,,,,,,"15 Bell Rd, Cosham, Portsmouth PO6 3NX, United Kingdom",Cosham,15 Bell Rd,Portsmouth,PO6 3NX,http://www.knightlandlordservices.com/,admin@knightlandlordservices.com,+44 7413 694439,+447413694439,50.8469883,-1.0818679,,Utility contractor
Coastal Electrical Installations Ltd,Electrician,Electrical installation service,Lighting contractor,Solar energy company,Solar energy system service,,,,,,,"266 Chatsworth Ave, Cosham, Portsmouth PO6 2UP, United Kingdom",Cosham,266 Chatsworth Ave,Portsmouth,PO6 2UP,https://tradehq.co.uk/coastalelectricalinstallations,coastalelec@mail.com,+44 7535 677226,+447535677226,50.8378658,-1.0561775,,Electrician
Current Solutions Electrical & Property Services,Electrician,Service establishment,Kitchen remodeler,Property maintenance,,,,,,,,,,,,,https://currentsolutionselectrical.co.uk/,graham@currentsolutionselectrical.co.uk,+44 7510 695691,+447510695691,50.8409493,-1.0914214,,Electrician
Above & Beyond Roofing Solutions Ltd,Roofing contractor,,,,,,,,,,,"14 Mablethorpe Rd, Cosham, Portsmouth PO6 3LJ, United Kingdom",Cosham,14 Mablethorpe Rd,Portsmouth,PO6 3LJ,https://aboveandbeyondroofingsolutionsltd.com/,aboveandbeyondroofingpo6@gmail.com,+44 7902 019319,+447902019319,50.8522862,-1.0755779,,Roofing contractor
D C Roofing & Sons LTD,Roofing contractor,,,,,,,,,,,"61 Locarno Rd, Portsmouth PO3 5DG, United Kingdom",,61 Locarno Rd,Portsmouth,PO3 5DG,http://www.dcroofingportsmouth.co.uk/,dcroofingportsmouth@gmail.com,+44 7818 552450,+447818552450,50.8211249,-1.0618549,,Roofing contractor
Impervious Roofing & building,Roofing contractor,,,,,,,,,,,"Gatcombe House, Copnor Rd, Hilsea, Portsmouth PO3 5EJ, United Kingdom",Hilsea,"Gatcombe House, Copnor Rd",Portsmouth,PO3 5EJ,http://www.imperviousroofing.co.uk/portsmouth/roofers/,info@imperviousroofing.co.uk,+44 23 9240 1768,+442392401768,50.8264003,-1.0666282,,Roofing contractor
J P Williams Roofing,Roofing contractor,,,,,,,,,,,"13 Deerhurst Cres, Portsmouth PO6 4EG, United Kingdom",,13 Deerhurst Cres,Portsmouth,PO6 4EG,http://jpwilliamsroofing.co.uk/,jpwilliamsroofing@hotmail.com,+44 7495 897451,+447495897451,50.8502077,-1.1008185,,Roofing contractor
J and A Roofing Specialists,Roofing contractor,,,,,,,,,,,"35 Magdalen Rd, Hilsea, Portsmouth PO2 9HS, United Kingdom",Hilsea,35 Magdalen Rd,Portsmouth,PO2 9HS,https://www.jandaroofing.co.uk/,info@jandaroofing.co.uk,+44 7917 866602,+447917866602,50.8243249,-1.0762862,,Roofing contractor
Southern Flat & Pitched Roofing Ltd,Roofing contractor,,,,,,,,,,,"1, Ackworth Rd, Hilsea, Portsmouth PO3 5RY, United Kingdom",Hilsea,"1, Ackworth Rd",Portsmouth,PO3 5RY,http://www.sfpr.co.uk/,info@sfpr.co.uk,+44 23 9266 4012,+442392664012,50.8331388,-1.0586905,,Roofing contractor
A* Home Improvements,Handyman/Handywoman/Handyperson,Painter,,,,,,,,,,"3 Lendorber Ave, Cosham, Portsmouth PO6 2JY, United Kingdom",Cosham,3 Lendorber Ave,Portsmouth,PO6 2JY,https://m.facebook.com/A-star-home-improvements-108030833969984/?ref=bookmarks,astar.improvements94@gmail.com,+44 7722 364710,+447722364710,50.8454495,-1.0575685,,Handyman/Handywoman/Handyperson
Get The Builders In,Home builder,Bathroom remodeler,Carpenter,Cleaners,Service establishment,Gardener,Glass repair service,Kitchen remodeler,Painter,Plumber,Window installation service,,,,,,http://www.getthebuildersin.com/,getthebuildersin.com@gmail.com,+44 7901 828181,+447901828181,50.8207071,-1.077654,,Home builder
Beautifully Cleaned,House cleaning service,Cleaning service,,,,,,,,,,"16 The Cl, Cosham, Portsmouth PO6 2QT, United Kingdom",Cosham,16 The Cl,Portsmouth,PO6 2QT,http://www.beautifullycleaned.co.uk/,louise.haynes@equitycs.co.uk,+44 7310 140662,+447310140662,50.8446673,-1.059715,,House cleaning service
Equity Cleaning Services,Cleaning service,,,,,,,,,,,"unit 10, Acorn Business Centre, Northarbour Rd, Cosham, Portsmouth PO6 3TH, United Kingdom",Cosham,"unit 10, Acorn Business Centre, Northarbour Rd",Portsmouth,PO6 3TH,https://www.equitycleaningservices.co.uk/,enquiries@nviro.co.uk,+44 23 9221 0583,+442392210583,50.8443924,-1.0816783,,Cleaning service
Nviro Ltd,Cleaning service,,,,,,,,,,,"acorn business park, 9, Portsmouth PO6 3TH, United Kingdom",Cosham,"acorn business park, 9",Portsmouth,PO6 3TH,http://www.nviro.co.uk/,enquiries@nviro.co.uk,+44 23 9237 0044,+442392370044,50.8446961,-1.0818044,,Cleaning service
Southern Cleaners Group,Cleaners,Carpet cleaning service,Cleaning service,House cleaning service,,,,,,,,"Building 1000, Lakeside, North Harbour, Portsmouth PO6 3EZ, United Kingdom",Cosham,"Building 1000, Lakeside, North Harbour",Portsmouth,PO6 3EZ,http://www.southerncleanersgroup.co.uk/,none,+44 23 9234 4054,+442392344054,50.8407713,-1.0831404,,Cleaners
Acadia Timber Ltd,Fence contractor,Deck builder,Shed builder,,,,,,,,,"229 Goldsmith Ave, Southsea, Portsmouth, Southsea PO4 0BS, United Kingdom","Southsea, Portsmouth",229 Goldsmith Ave,Southsea,PO4 0BS,http://acadiatimber.ltd.uk/,acadiatimber@gmail.com,+44 23 9282 6014,+442392826014,50.7957742,-1.0742209,,Fence contractor
Apex Fence & Construction,Fence contractor,Service establishment,Landscape designer,Landscaper,,,,,,,,,,,,,http://apexfenceconstruction.com/,apexfenceandconstruction@gmail.com,+44 7377 522187,+447377522187,50.853148,-1.0357776,,Fence contractor
